date,reach.id,transect.no,purpose,wetted.width.m,thalweg.depth.m,width.to.depth,time.m,time.l,time.r,lens.height.m,lens.height.l,lens.height.r,veg.type.l,veg.type.r,veg.code.l,veg.code.r,veg.code.avg,wetted.edge.l.m,wetted.edge.r.m,herb.height.max.l.m,herb.height.max.r.m,herb.height.max.avg.m,stream.aspect.deg,stream.orient.from.north,veg.dens.l,veg.dens.r,veg.dens.avg,herb.height.mode.l.m,herb.height.mode.r.m,herb.height.mode.avg.m,lat.dec.deg,long.dec.deg,wood.height.max.l.m,wood.height.max.r.m,shade.lidar.leafoff.dsm,shade.lidar.dem,gap.fraction.m,gap.fraction.l,gap.fraction.r,gap.fraction.avg,openness.m,openness.l,openness.r,openness.avg,total.site.factor.m,total.site.factor.l,total.site.factor.r,total.site.factor.avg,shade.m,shade.l,shade.r,shade.avg
7/3/2017,3,1,Transect,2.4765,0.4589145,5.4,10:52,10:57,11:04,0.47625,0.3175,0.33655,M,M,0.5,0.5,0.5,-0.2413,-0.2413,1.775206,1.714246,1.744726,218,38,NA,NA,NA,NA,NA,NA,45.07778,-92.8605,,,,,0.3512,0.1214,0.2111,0.2279,0.4959,0.1209,0.1903,0.269033333,0.1245,0.0532,0.2632,0.146966667,0.8755,0.9468,0.7368,0.853033333
7/3/2017,3,2,Transect,2.08915,0.4543425,4.6,12:12,12:17,12:31,0.28575,0.4318,0.34925,M,G,0.5,0,0.25,-0.4572,-0.12065,1.988566,1.866646,1.927606,72,72,NA,NA,NA,NA,NA,NA,45.07772,-92.8605,,,,,0.4461,0.2767,0.2837,0.3355,0.3346,0.2236,0.2111,0.256433333,0.8689,0.5486,0.2448,0.5541,0.1311,0.4514,0.7552,0.4459
7/3/2017,3,3,Transect,3.53695,0.7560945,4.7,13:15,13:23,13:28,0.29845,0.29845,0.29845,G,G,0,0,0,0,-0.0508,1.927606,1.958086,1.942846,161,161,NA,NA,NA,NA,NA,NA,45.07771,-92.8603,,,,,0.7326,0.4825,0.6564,0.623833333,0.5521,0.3544,0.4979,0.468133333,0.8707,0.6414,0.9156,0.809233333,0.1293,0.3586,0.0844,0.190766667
7/3/2017,3,4,Transect,2.8575,0.9115425,3.1,14:05,14:30,14:21,0.3429,0.3683,0.3429,G,M,0,0.5,0.25,-0.1524,-0.0889,1.653286,2.171446,1.912366,155,155,NA,NA,NA,NA,NA,NA,45.07765,-92.8604,,,,,0.7155,0.633,0.5889,0.6458,0.5462,0.49,0.4529,0.496366667,0.8992,0.8157,0.6245,0.7798,0.1008,0.1843,0.3755,0.2202
7/3/2017,3,5,Transect,2.6035,0.6219825,4.2,15:49,15:54,15:58,0.3429,0.31115,0.4191,G,G,0,0,0,-0.381,-0.1651,1.958086,1.500886,1.729486,220,40,NA,NA,NA,NA,NA,NA,45.07757,-92.8604,,,,,0.6607,0.4182,0.4526,0.5105,0.487,0.3215,0.3453,0.3846,0.791,0.3562,0.578,0.575066667,0.209,0.6438,0.422,0.424933333
7/3/2017,3,6,Transect,2.2479,0.6402705,3.5,16:39,16:48,16:45,0.2921,0.3048,0.33655,G,G,0,0,0,-0.2286,-0.44196,1.988566,1.592326,1.790446,164,164,NA,NA,NA,NA,NA,NA,45.07747,-92.8604,,,,,0.6696,0.407,0.459,0.511866667,0.4956,0.2992,0.3543,0.383033333,0.8142,0.4903,0.613,0.639166667,0.1858,0.5097,0.387,0.360833333
7/4/2017,3,7,Transect,2.8321,0.4573905,6.2,11:22,11:25,11:33,0.22225,0.33655,0.2413,M,G,0.5,0,0.25,0,-0.1651,3.085846,1.958086,2.521966,211,31,NA,NA,NA,NA,NA,NA,45.07745,-92.8605,,,,,0.5526,0.2995,0.3977,0.4166,0.4375,0.2762,0.3008,0.338166667,0.3756,0.227,0.5183,0.373633333,0.6244,0.773,0.4817,0.626366667
7/4/2017,3,8,Transect,2.2606,0.5305425,4.3,12:06,12:08,12:21,0.32385,0.24765,0.24765,G,G,0,0,0,-0.4318,0.1905,1.958086,1.683766,1.820926,125,125,NA,NA,NA,NA,NA,NA,45.07738,-92.8604,,,,,0.7924,0.577,0.5855,0.651633333,0.6119,0.4361,0.464,0.504,0.9255,0.8407,0.5534,0.7732,0.0745,0.1593,0.4466,0.2268
7/4/2017,3,9,Transect,2.7686,0.5000625,5.5,12:52,13:05,13:09,0.2667,0.24765,0.2667,G,G,0,0,0,-0.2794,0,1.866646,2.019046,1.942846,111,111,NA,NA,NA,NA,NA,NA,45.07742,-92.8603,,,,,0.7306,0.2037,0.6812,0.5385,0.5584,0.1707,0.5174,0.4155,0.9391,0.3108,0.7692,0.673033333,0.0609,0.6892,0.2308,0.326966667
7/4/2017,3,10,Transect,2.45745,0.5915025,4.2,13:53,14:01,13:57,0.2159,0.36195,0.29845,M,G,0.5,0,0.25,-0.0508,-0.2159,2.080006,1.683766,1.881886,123,123,NA,NA,NA,NA,NA,NA,45.07735,-92.8602,,,,,0.6956,0.4288,0.5155,0.546633333,0.516,0.3389,0.3872,0.414033333,0.8436,0.6339,0.5157,0.6644,0.1564,0.3661,0.4843,0.3356
7/4/2017,3,11,Transect,2.38125,0.5762625,4.1,14:27,14:32,14:35,0.2159,0.22225,0.24765,M,G,0.5,0,0.25,-0.4318,-0.14605,1.470406,1.805686,1.638046,229,49,NA,NA,NA,NA,NA,NA,45.07727,-92.8603,,,,,0.7763,0.4248,0.6573,0.619466667,0.5933,0.3291,0.5003,0.474233333,0.9112,0.4206,0.8155,0.715766667,0.0888,0.5794,0.1845,0.284233333
